date,demand,loadShed,rainfall,apparent_temperature
2017-03-18,818,0,0,27.7
2017-03-19,855,0,0,28.1
2017-03-20,842,0,6,25.1
2017-03-21,829,0,0,24.9
2017-03-22,860,0,0,25.6
2017-03-23,894,0,0,27.5
2017-03-24,796,0,0,29.2
2017-03-25,826,0,0,28.8
2017-03-26,804,0,0,28.9
2017-03-27,892,0,0,29.1
2017-03-28,911,0,0,29.1
2017-03-29,920,0,0,29.1
2017-03-30,905,0,0.2,29.6
2017-03-31,935,0,0.1,30.4
2017-04-01,893,0,0,30.5
2017-04-02,896,0,0.1,30.2
2017-04-03,913,0,0.7,29.6
2017-04-04,699,0,0.5,29.4
2017-04-05,710,0,0,30
2017-04-06,863,0,0,30.8
2017-04-07,830,0,0,32.2
2017-04-08,917,0,0,33
2017-04-09,841,0,0,33.3
2017-04-10,,,0,33.3
2017-04-11,895,0,0,33.4
2017-04-12,942,0,0,32.8
2017-04-13,924,0,0,31.8
2017-04-14,882,0,0,32.9
2017-04-15,924,0,0,31.5
2017-04-16,881,0,0.1,31.6
2017-04-17,937,0,0.2,31
2017-04-18,938,0,0.4,31.8
2017-04-19,902,0,0.8,31.1
2017-04-20,875,0,3.2,30.3
2017-04-21,590,0,14.4,29
2017-04-22,721,0,0.9,29.7
2017-04-23,771,0,10.3,28.5
2017-04-24,684,0,9.4,29
2017-04-25,883,0,3.1,30.6
2017-04-26,909,0,0.6,32.3
2017-04-27,930,0,0.6,32.8
2017-04-28,858,0,0,32.8
2017-04-29,921,0,0,32.8
2017-04-30,895,0,0,32.7
2017-05-01,775,0,0,32.4
2017-05-02,908,0,0.1,32.4
2017-05-03,920,0,0,33.7
2017-05-04,958,0,0,34.1
2017-05-05,888,0,0,33.2
2017-05-06,916,0,0,32.6
2017-05-07,921,0,0,33
2017-05-08,980,0,0,33.4
2017-05-09,931,0,0,33.9
2017-05-10,1025,0,0,33.9
2017-05-11,833,0,0.5,34.9
2017-05-12,916,0,0.3,35.6
2017-05-13,943,0,0.2,34.9
2017-05-14,920,0,0.9,34.2
2017-05-15,890,0,2.1,33.9
2017-05-16,916,0,0.4,33.1
2017-05-17,840,0,1.3,33.3
2017-05-18,934,0,1,34.4
2017-05-19,916,0,3,34.8
2017-05-20,900,0,1.6,35.5
2017-05-21,944,0,0.6,35.9
2017-05-22,872,0,0,35.9
2017-05-23,811,0,0,36.1
2017-05-24,939,0,0,36.2
2017-05-25,836,0,0.3,35.9
2017-05-26,939,0,0,36.1
2017-05-27,938,0,0.9,36.3
2017-05-28,957,0,3.3,35.2
2017-05-29,933,0,15.1,32.9
2017-05-30,566,0,55.3,28.8
2017-05-31,809,0,20.2,30.7
2017-06-01,672,0,14.5,32
2017-06-02,829,0,12,32.1
2017-06-03,938,0,14.8,32.3
2017-06-04,790,0,8,32.5
2017-06-05,910,0,6.2,33
2017-06-06,964,0,1.4,35.3
2017-06-07,912,0,1.9,36.2
2017-06-08,711,0,6.8,34
2017-06-09,884,0,6.7,34.7
2017-06-10,949,0,6.1,35.4
2017-06-11,811,0,21.1,30.3
2017-06-12,675,0,116.2,28.5
2017-06-13,738,0,48.8,31.2
2017-06-14,901,0,21.9,31.2
2017-06-15,829,0,32.8,28.8
2017-06-16,,,53.3,29.2
2017-06-17,957,0,11.3,31.1
2017-06-18,938,0,9.9,31.6
2017-06-19,810,0,23.9,30.7
2017-06-20,931,0,58.2,30.1
2017-06-21,866,0,49.8,30.6
2017-06-22,854,0,7.3,30.7
2017-06-23,849,0,10.9,31.4
2017-06-24,861,0,6.4,31.5
2017-06-25,723,0,0.2,31.6
2017-06-26,691,0,5.9,31.4
2017-06-27,693,0,4,31.6
2017-06-28,730,0,5.5,31.4
2017-06-29,759,0,2.4,31.3
2017-06-30,733,0,6.6,30.5
2017-07-01,907,0,20.7,30
2017-07-02,891,0,31.5,29.7
2017-07-03,812,0,61.5,30
2017-07-04,875,0,49.9,29.8
2017-07-05,792,0,28.6,30.5
2017-07-06,917,0,5.5,30.3
2017-07-07,892,0,3.2,30.7
2017-07-08,938,0,7.3,30.8
2017-07-09,936,0,6.1,30.3
2017-07-10,905,0,7.3,30.3
2017-07-11,949,0,10.1,30.1
2017-07-12,993,0,12.5,30
2017-07-13,892,0,14.6,30.3
2017-07-14,847,0,1.5,31.8
2017-07-15,933,0,1.5,32.5
2017-07-16,890,0,2.6,34
2017-07-17,983,0,2.9,35.1
2017-07-18,947,0,6.6,32.2
2017-07-19,832,0,25.6,28.8
2017-07-20,796,0,24.7,29.4
2017-07-21,860,0,16.8,29.6
2017-07-22,987,0,87.2,30.4
2017-07-23,758,0,95.7,29.9
2017-07-24,771,0,87.2,27.9
2017-07-25,825,0,47.4,28.5
2017-07-26,916,0,12.4,30.6
2017-07-27,995,0,4.5,32.1
2017-07-28,840,0,7.7,33.3
2017-07-29,984,0,4.8,33.5
2017-07-30,1012,0,3.2,33
2017-07-31,927,0,1.7,32.8
2017-08-01,929,0,1.3,32.9
2017-08-02,958,0,6.4,32.4
2017-08-03,944,0,3.5,32.3
2017-08-04,865,0,11.1,32.1
2017-08-05,975,0,7,31.8
2017-08-06,889,0,12,31.7
2017-08-07,977,0,12.3,31.3
2017-08-08,930,0,13,31.1
2017-08-09,933,0,8.9,30.7
2017-08-10,903,0,25.7,30.3
2017-08-11,799,0,38.7,30.1
2017-08-12,905,0,44.8,30.2
2017-08-13,916,0,18.9,30.1
2017-08-14,985,0,17.8,30.2
2017-08-15,896,0,13,31.4
2017-08-16,924,0,14.4,30.7
2017-08-17,971,0,2.8,31.7
2017-08-18,888,0,0,32
2017-08-19,996,0,0.7,32.7
2017-08-20,975,0,2.1,33
2017-08-21,1048,0,6.8,34
2017-08-22,1004,0,19.9,32.1
2017-08-23,992,0,2.2,32.4
2017-08-24,965,0,33,31.9
2017-08-25,937,0,1.8,31.9
2017-08-26,1000,0,21,30.6
2017-08-27,919,0,3.6,31
2017-08-28,996,0,2.4,31.8
2017-08-29,989,0,5.7,32.4
2017-08-30,914,0,18,33
2017-08-31,864,0,34.2,31.7
2017-09-01,635,0,27.4,30.6
2017-09-02,715,0,29.2,30.9
2017-09-03,760,0,13.5,32.4
2017-09-04,760,0,2.9,33.7
2017-09-05,859,0,1.5,34.4
2017-09-06,884,0,2.5,34.1
2017-09-07,896,0,4.5,33.7
2017-09-08,878,0,12.2,32
2017-09-09,908,0,11.4,31.7
2017-09-10,840,0,14.4,31.4
