time,apparent_temperature,rain,us_aqi
2023-10-09T19:00,34.2,0.1,97
2023-10-09T20:00,33.4,0.2,98
2023-10-09T21:00,32.4,0.2,99
2023-10-09T22:00,32.1,0.1,101
2023-10-09T23:00,32.3,0,102
2023-10-10T00:00,32.3,0,103
2023-10-10T01:00,32.5,0,104
2023-10-10T02:00,32.2,0,105
2023-10-10T03:00,31.7,0,106
2023-10-10T04:00,31.4,0,107
2023-10-10T05:00,31,0,109
2023-10-10T06:00,31,0,110
2023-10-10T07:00,32.4,0,112
2023-10-10T08:00,33.4,0,114
2023-10-10T09:00,35.2,0.1,117
2023-10-10T10:00,36.4,0.1,120
2023-10-10T11:00,38.2,0.1,123
2023-10-10T12:00,38.4,0.1,127
2023-10-10T13:00,38.6,0.1,131
2023-10-10T14:00,38.6,0.1,135
2023-10-10T15:00,37.7,0,138
2023-10-10T16:00,37.4,0,142
2023-10-10T17:00,37.2,0,146
2023-10-10T18:00,36.3,0,150
2023-10-10T19:00,35.4,0,151
2023-10-10T20:00,34.6,0,152
2023-10-10T21:00,34.5,0.1,154
2023-10-10T22:00,34.2,0.1,156
2023-10-10T23:00,33.4,0,157
