date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length
2023-03-09,4375,0,0,25.8,52.208333333333336,7.8208333333333355,14.325000000000001,11.85
2023-03-10,3788,0,0,26.1,52.458333333333336,9.875,17.6125,11.866666666666667
2023-03-11,4353,0,0,26.4,55.166666666666664,8.170833333333333,13.124999999999998,11.9
2023-03-12,4618,0,0,26.6,55.916666666666664,7.899999999999999,13.433333333333332,11.916666666666666
2023-03-13,4580,10,0,26.7,49.583333333333336,9.429166666666665,18.27916666666667,11.95
2023-03-14,4633,0,3.8,25.8,53.958333333333336,8.812500000000002,15.575000000000003,11.966666666666667
2023-03-15,4647,0,1.3,25.2,66.625,6.645833333333335,10.295833333333333,12
2023-03-16,4710,0,5.7,24.8,74.91666666666667,9.820833333333333,15.870833333333332,12.016666666666667
2023-03-17,3564,0,7.3,24.2,79.66666666666667,5.983333333333333,9.933333333333334,12.033333333333333
2023-03-18,4371,11,0,25.3,80.83333333333333,7.545833333333333,13.045833333333333,12.066666666666666
2023-03-19,3433,0,15.3,22.2,68.83333333333333,5.0375,8.687500000000002,12.083333333333334
2023-03-20,4053,0,8.6,22.4,90.04166666666667,5.408333333333332,8.925,12.116666666666667
2023-03-21,4020,0,10.2,22.3,85.66666666666667,7.541666666666667,12.574999999999998,12.133333333333333
2023-03-22,4282,0,2.3,23,86.58333333333333,7.212500000000001,13.049999999999995,12.15
2023-03-23,4291,0,0.4,24.3,84.58333333333333,6.158333333333332,11.283333333333331,12.183333333333334
2023-03-24,3687,0,0.3,24.7,81.04166666666667,7.804166666666668,13.729166666666666,12.2
2023-03-25,3873,0,1,25.6,78.33333333333333,5.499999999999999,8.479166666666666,12.233333333333333
2023-03-26,3675,0,0.7,26.4,81.45833333333333,4.883333333333333,6.966666666666668,12.25
2023-03-27,4156,0,0.1,26.6,79.95833333333333,9.000000000000002,15.220833333333331,12.266666666666667
2023-03-28,4338,0,0.6,26.8,75,6.812500000000001,12.424999999999999,12.3
2023-03-29,3952,0,6.6,25.7,75.16666666666667,4.9375,8.470833333333333,12.316666666666666
2023-03-30,4171,0,4.7,25.5,83.83333333333333,6.845833333333332,12.420833333333336,12.35
