date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m
2018-06-20,2700,0,3.2,29.3,85.375,17.8375
2018-06-21,2915,0,5.5,29,86.54166666666667,13.787500000000001
2018-06-22,2971,0,1.9,28.8,83.41666666666667,17.120833333333334
2018-06-23,3269,0,9.4,27.5,82.375,18.070833333333336
2018-06-24,3462,0,17.8,26.7,87.29166666666667,18.812499999999996
2018-06-25,3474,0,34.5,26.3,91.20833333333333,18.129166666666666
2018-06-26,3565,0,1.7,28,94.5,16.4875
2018-06-27,3582,0,2.3,27.5,84.91666666666667,18.116666666666664
2018-06-28,3497,0,5.8,27.5,83.04166666666667,29.14583333333333
2018-06-29,3497,0,2.2,27.8,84.66666666666667,22.974999999999998
2018-06-30,3751,0,5.4,28.1,83.04166666666667,20.366666666666667
2018-07-01,3813,0,8.1,28.4,83.66666666666667,20.475
2018-07-02,3810,0,5.7,27.9,83.75,23.400000000000002
2018-07-03,3670,0,32,26.7,85.70833333333333,23.94583333333333
2018-07-04,3587,0,20.9,27.3,94.08333333333333,20.625000000000004
2018-07-05,3760,0,13.9,27.5,90.95833333333333,22.279166666666665
2018-07-06,3536,0,0.6,28.6,88.45833333333333,16.095833333333335
2018-07-07,3875,0,0.2,28.7,83.58333333333333,14.575000000000003
2018-07-08,3825,0,3.5,28,81.58333333333333,18.783333333333328
2018-07-09,3922,0,3.5,28.1,84.20833333333333,24.474999999999994
2018-07-10,3962,0,8.3,27.9,83.95833333333333,23.54166666666667
2018-07-11,3978,0,3.3,28.5,85.08333333333333,21.75
2018-07-12,4020,0,5.2,28.5,84.16666666666667,19.841666666666665
2018-07-13,3531,0,2.7,28.6,82.41666666666667,22.22083333333333
2018-07-14,4043,0,0.4,29.3,82.58333333333333,19.41666666666666
2018-07-15,3918,0,0.9,28.8,78.08333333333333,16.03333333333333
2018-07-16,4003,0,2,28.3,78,25.9875
2018-07-17,3839,0,13.1,27.9,81.04166666666667,31.712499999999995
2018-07-18,3988,0,3.6,28.9,87.08333333333333,24.9375
2018-07-19,4141,0,1,30.6,84.04166666666667,17.179166666666664
2018-07-20,3660,0,9.2,29.9,79,5.433333333333333
2018-07-21,3892,0,1.9,28,81.79166666666667,17.666666666666668
2018-07-22,3886,0,4.6,27.6,81.83333333333333,33.27916666666667
2018-07-23,3725,0,14.4,27.2,85.29166666666667,32.44583333333333
2018-07-24,3689,0,17.8,26.9,89.54166666666667,23.004166666666666
2018-07-25,3763,0,9.5,26.6,92.16666666666667,16.5875
2018-07-26,3691,0,13.7,26.5,92.95833333333333,18.816666666666666
2018-07-27,3378,0,11.7,26.7,93.16666666666667,18.133333333333336
2018-07-28,3684,0,22.5,27,90.83333333333333,18.741666666666664
2018-07-29,3808,0,8.8,27.4,89.79166666666667,18.791666666666668
2018-07-30,3849,0,11.2,27.4,87.04166666666667,18.15416666666667
2018-07-31,3935,0,6.3,27.5,87.45833333333333,18.425
2018-08-01,3757,0,17.7,27.2,84.58333333333333,19.583333333333332
2018-08-02,3700,0,13.2,26.7,86.20833333333333,16.979166666666664
2018-08-03,3421,0,18.3,26.7,89.70833333333333,21.583333333333332
2018-08-04,3848,0,7.5,27.4,88.45833333333333,19.38333333333333
2018-08-05,3968,0,8.9,27.9,87.91666666666667,15.279166666666663
2018-08-06,3922,0,1.7,28.2,87.70833333333333,12.883333333333333
2018-08-07,3927,0,1.1,28.1,82.83333333333333,12.416666666666666
2018-08-08,3942,0,0.5,28.3,79.54166666666667,24.974999999999998
2018-08-09,4043,0,2.9,28.2,81.33333333333333,20.658333333333328
2018-08-10,3658,0,1.2,28.7,84.375,15.825000000000003
2018-08-11,4082,0,0.8,28.4,81.5,15.216666666666663
2018-08-12,4148,0,5.5,28,83.29166666666667,16.908333333333335
2018-08-13,4289,0,0.2,28.6,85,16.541666666666668
2018-08-14,4239,0,3.9,28.8,80.91666666666667,15.595833333333337
2018-08-15,3723,0,0.7,28.8,82.125,16.316666666666663
2018-08-16,4125,0,2.5,28.8,80.54166666666667,24.862500000000008
2018-08-17,3898,0,0.2,29.1,80.375,19.674999999999997
2018-08-18,4195,0,3,29.9,81.16666666666667,13.841666666666667
2018-08-19,3790,0,4.4,29.2,81.75,7.3666666666666645
2018-08-20,3026,0,6.7,28.1,85.70833333333333,12.866666666666665
2018-08-21,2506,0,2.4,27.9,82.375,23.64166666666667
2018-08-22,2522,0,0.7,28.3,85.625,21.616666666666664
2018-08-23,2519,0,5.6,28,84.58333333333333,21.875
2018-08-24,2487,0,8.2,28.2,86.79166666666667,18.054166666666664
2018-08-25,2646,0,5.8,28.1,85.20833333333333,19.05
2018-08-26,2887,0,0.9,28.3,84.41666666666667,19.12916666666667
2018-08-27,2966,0,1,28.1,82.5,19.2
2018-08-28,3222,0,3.8,28,82.375,22.879166666666663
2018-08-29,3331,0,2.2,27.6,82.70833333333333,24.558333333333334
2018-08-30,3537,0,1.9,27.9,85.66666666666667,21.64583333333334
2018-08-31,3363,0,6.4,28,83.875,19.15
2018-09-01,3571,0,3.8,27.6,85.08333333333333,16.933333333333334
2018-09-02,3541,0,7.1,26.6,83.70833333333333,22.045833333333334
2018-09-03,3895,0,2.8,27.6,89.70833333333333,22.8875
2018-09-04,3925,0,8.4,27.8,86.33333333333333,18.016666666666662
2018-09-05,3941,0,0.2,28.2,84.54166666666667,14.37083333333333
2018-09-06,3854,0,5.6,27.6,81.33333333333333,18.391666666666662
2018-09-07,3503,0,5.4,27.3,79.70833333333333,31.58333333333333
2018-09-08,4022,0,0.6,28.2,84.54166666666667,25.916666666666668
2018-09-09,3998,0,0.2,28.5,80.95833333333333,16.487499999999994
2018-09-10,3959,0,5.7,27.8,80.45833333333333,13.970833333333331
2018-09-11,3853,0,7.8,27.6,83.83333333333333,16.745833333333334
2018-09-12,3981,0,12.4,27.5,84.79166666666667,16.72083333333333
2018-09-13,3851,0,5.3,27.9,87.5,19.024999999999995
2018-09-14,3388,0,7.9,27.7,87.70833333333333,14.908333333333333
2018-09-15,4087,0,4.3,28.6,88.54166666666667,6.795833333333332
2018-09-16,4098,0,0.1,29.3,86,5.270833333333333
2018-09-17,4143,0,0,29.9,81.45833333333333,8.8875
2018-09-18,,,0.1,30.2,78.16666666666667,9.799999999999997
2018-09-19,4096,0,9.2,29.6,78.875,9.5375
2018-09-20,4089,0,18.4,28,82.54166666666667,8.083333333333332
2018-09-21,3348,0,0.3,27.5,83.875,16.520833333333332
2018-09-22,4024,0,0,27.5,83.04166666666667,20.63333333333333
2018-09-23,4044,0,0.2,28.5,81.54166666666667,9.208333333333334
2018-09-24,4064,0,0.3,28.6,82.375,7.820833333333334
2018-09-25,4023,0,12.2,27.8,81.33333333333333,13.674999999999999
2018-09-26,3937,0,4.3,28.2,85.70833333333333,15.9375
2018-09-27,3887,0,3.1,28.2,85.16666666666667,11.291666666666666
2018-09-28,3699,0,0.4,28.9,83.79166666666667,7.970833333333335
2018-09-29,4101,0,0.4,29.4,83.29166666666667,7.508333333333336
2018-09-30,4136,0,0.2,29.4,81.91666666666667,8.258333333333333
2018-10-01,4092,0,0,29.2,79.58333333333333,10.383333333333335
2018-10-02,3713,0,0,28.5,76.04166666666667,8.029166666666667
2018-10-03,4013,0,0,28.3,74.08333333333333,10.454166666666667
2018-10-04,4063,0,0,28.6,76.95833333333333,9.345833333333333
2018-10-05,3517,0,0.5,28.6,77.91666666666667,5.254166666666666
2018-10-06,3990,0,1,28.2,78.5,6.0249999999999995
2018-10-07,4045,0,0,28.2,80.625,6.825
2018-10-08,4015,0,0,28,75.875,5.887499999999999
2018-10-09,3902,0,0,27,73.91666666666667,6.329166666666666
2018-10-10,3577,0,6.7,24.6,82.25,13.975
2018-10-11,3414,0,32.9,23.7,87.16666666666667,15.583333333333334
2018-10-12,2801,0,16.3,24.1,91.125,22.54166666666666
2018-10-13,3321,0,31.5,23.9,92.75,16.55
2018-10-14,3423,0,1.5,25.7,95.875,16.570833333333336
2018-10-15,3643,0,0.2,25.6,83.375,11.483333333333334
2018-10-16,3604,0,0,25.4,83.33333333333333,7.933333333333333
2018-10-17,3696,0,0,25.6,78.16666666666667,8.583333333333334
2018-10-18,3735,0,0.1,25.4,70.79166666666667,7.150000000000001
2018-10-19,3147,0,0.1,26.2,77.91666666666667,8.75
2018-10-20,3679,0,0,26.4,78.20833333333333,7.704166666666668
2018-10-21,3785,0,0,26,76.75,6.958333333333335
2018-10-22,3835,0,0,26.1,78.375,9.116666666666669
2018-10-23,3795,0,0,25.8,77.25,7.258333333333333
2018-10-24,3785,0,0,26,75.91666666666667,8.316666666666666
2018-10-25,3639,0,0,25.1,75.125,8.879166666666666
2018-10-26,2938,0,0,24.3,71.70833333333333,11.208333333333334
2018-10-27,3611,0,0,24.8,69.08333333333333,9.187499999999998
2018-10-28,3248,0,9.8,23.5,72.20833333333333,10.891666666666667
2018-10-29,3235,0,8.8,23.3,84.54166666666667,12.708333333333334
2018-10-30,3379,0,4.2,23.5,88.20833333333333,11.899999999999997
2018-10-31,3534,0,0,24.4,83.04166666666667,13.187499999999998
2018-11-01,3654,0,0,25.1,81.625,11.266666666666666
2018-11-02,3028,0,0.5,25.8,80,5.249999999999999
2018-11-03,3656,0,0.5,24.9,82.25,6.529166666666666
2018-11-04,3776,0,0,25.4,86.5,8.5625
2018-11-05,3715,0,0.7,25.7,83.08333333333333,12.299999999999999
2018-11-06,3719,0,0.3,25.5,84.08333333333333,12.733333333333333
2018-11-07,3499,0,0.2,24.8,84.41666666666667,12.441666666666665
2018-11-08,3394,0,0,23.9,81.91666666666667,8.012500000000001
2018-11-09,2621,0,0,23.6,72.79166666666667,9.945833333333335
2018-11-10,3188,0,0,24.1,68.41666666666667,4.5874999999999995
2018-11-11,3132,0,0,24.1,68.08333333333333,4.629166666666667
2018-11-12,3247,0,0,23.5,69.91666666666667,4.3083333333333345
2018-11-13,3351,0,0,23.9,75.29166666666667,5.8875
2018-11-14,3318,0,0,24.2,73.91666666666667,4.383333333333334
2018-11-15,3439,0,0,24.2,76.16666666666667,4.945833333333333
2018-11-16,2626,0,0,24.8,77.375,8.499999999999998
2018-11-17,3206,0,0,24.8,75.20833333333333,13.237499999999999
2018-11-18,3188,0,0,23.3,77.95833333333333,14.191666666666665
2018-11-19,3123,0,0,22.2,70.75,11.308333333333332
2018-11-20,3087,0,0,22.8,67.54166666666667,11.808333333333332
2018-11-21,2926,0,0,22.8,70.25,5.7
2018-11-22,3129,0,0,21.7,69.54166666666667,9.7125
2018-11-23,2476,0,0,22.2,69.91666666666667,9.720833333333333
2018-11-24,3046,0,0,22.4,73.125,5.2124999999999995
2018-11-25,3071,0,0,21.8,72.83333333333333,6.541666666666667
2018-11-26,3137,0,0,21.9,73.04166666666667,7.8
2018-11-27,3057,0,0,22.3,72.33333333333333,7.4750000000000005
2018-11-28,3249,0,0,21.5,70.08333333333333,8.533333333333333
2018-11-29,3105,0,0,21.4,69.75,11.554166666666665
2018-11-30,2542,0,0,21.6,67.04166666666667,7.641666666666665
2018-12-01,2994,0,0,21.2,66.20833333333333,8.654166666666667
2018-12-02,3013,0,0,20.9,67.45833333333333,8.433333333333335
2018-12-03,3025,0,0,21.1,67.875,7.883333333333333
2018-12-04,3001,0,0,20.5,69.5,9.012500000000001
2018-12-05,2976,0,0,20.7,72.125,11.395833333333334
2018-12-06,3013,0,0,20.9,71.91666666666667,12.125
2018-12-07,2500,0,0,20.6,70.91666666666667,11.029166666666667
2018-12-08,2942,0,0,20.4,69,11.941666666666668
2018-12-09,2901,0,0,19.7,67.41666666666667,14.787500000000001
2018-12-10,2972,0,0,19.6,72.83333333333333,10.270833333333336
2018-12-11,3027,0,0,19.7,71.625,8.383333333333335
2018-12-12,2971,0,0,21,69.70833333333333,10.125
2018-12-13,2903,0,0,20.9,69,8.025
2018-12-14,2443,0,0,21.8,71.58333333333333,11.833333333333334
2018-12-15,2718,0,0,21,64.25,14.008333333333333
2018-12-16,2206,0,0,20.8,57.666666666666664,16.78333333333333
2018-12-17,2747,0,6.9,19.9,66.5,14.004166666666668
2018-12-18,2840,0,24,17.7,80.625,18.245833333333334
2018-12-19,2779,0,0,17.6,90.41666666666667,20.037500000000005
2018-12-20,2780,0,0,17.7,85.25,10.416666666666666
2018-12-21,2670,0,0,18.3,80.20833333333333,13.05833333333333
2018-12-22,2833,0,0,18.6,77.66666666666667,12.037500000000001
2018-12-23,2842,0,0,18.2,75.83333333333333,14.333333333333334
2018-12-24,2855,0,0,18.4,78.58333333333333,11.866666666666667
2018-12-25,2784,0,0,17.9,79.25,10.379166666666665
2018-12-26,2878,0,0,17.2,76.58333333333333,12.5375
2018-12-27,2820,0,0,16.9,71.54166666666667,15.258333333333335
2018-12-28,2290,0,0,16.3,71.54166666666667,15.795833333333329
2018-12-29,2204,0,0,15.6,64.75,16.916666666666664
2018-12-30,1766,0,0,17.2,62.416666666666664,15.929166666666665
2018-12-31,2361,0,0,17.4,68.33333333333333,17.208333333333332
2019-01-01,2642,0,0,18,74.83333333333333,11.333333333333334
2019-01-02,2735,0,0,18.2,74.58333333333333,12.141666666666666
2019-01-03,2750,0,0,18.1,71.25,9.970833333333333
2019-01-04,2311,0,0,17.1,68.29166666666667,10.854166666666664
2019-01-05,2746,0,0,17.1,68.5,13.883333333333333
2019-01-06,2812,0,0,17.8,70.95833333333333,11.049999999999999
2019-01-07,2808,0,0,18.5,72.66666666666667,11.029166666666667
2019-01-08,2825,0,0,18.4,70.54166666666667,10.950000000000001
2019-01-09,2733,0,0,18.5,71.375,14.154166666666667
2019-01-10,2828,0,0,17.8,69.625,15.012499999999998
2019-01-11,2301,0,0,17.1,68.45833333333333,14.195833333333333
2019-01-12,2817,0,0,17.8,70.79166666666667,11.066666666666668
2019-01-13,2809,0,0,18.3,73.5,9.920833333333333
2019-01-14,2799,0,0,18.8,72.375,10.695833333333335
2019-01-15,2919,0,0,18.5,70.33333333333333,12.670833333333334
2019-01-16,2905,0,0,18.2,66.83333333333333,16.58333333333334
2019-01-17,2807,0,0,18.8,63.958333333333336,16.27916666666667
2019-01-18,2375,0,0,19.2,69.04166666666667,11.395833333333334
2019-01-19,2871,0,0,19.1,70.54166666666667,8.25
2019-01-20,2918,0,0,19.2,69.58333333333333,14.041666666666666
2019-01-21,2969,0,0,19.5,67.79166666666667,13.979166666666666
2019-01-22,2821,0,0,19.7,68.91666666666667,10.783333333333333
2019-01-23,3021,0,0,20,69.20833333333333,9.416666666666666
2019-01-24,,,0,20.5,70.16666666666667,8.037499999999998
2019-01-25,2457,0,0,21.3,69.79166666666667,11.683333333333332
2019-01-26,2897,0,0,21.7,66.41666666666667,15.579166666666666
2019-01-27,3031,0,0,22.7,63.75,13.941666666666665
2019-01-28,2974,0,0,21.7,56.708333333333336,16.666666666666668
2019-01-29,2979,0,0,20,63.083333333333336,17.695833333333333
2019-01-30,1766,0,0,17.9,59.791666666666664,22.42916666666667
2019-01-31,2928,0,0,18.6,57.833333333333336,16.083333333333332
2019-02-01,2395,0,0,20,62.75,11.745833333333335
2019-02-02,2916,0,0,20.5,65,10.950000000000001
2019-02-03,2972,0,0,20,65.04166666666667,9.47916666666667
2019-02-04,2931,0,0,20.1,63.416666666666664,12.504166666666665
2019-02-05,2913,0,0,19.6,59.375,12.766666666666666
2019-02-06,3030,0,0,19.6,57.416666666666664,15.591666666666669
2019-02-07,2948,0,0,21.4,59.708333333333336,10.791666666666666
2019-02-08,2498,0,0,22.4,58.791666666666664,7.920833333333333
2019-02-09,2954,0,0,22.4,64.04166666666667,13.487499999999999
2019-02-10,2904,0,0.6,20.1,65.125,20.745833333333334
2019-02-11,2918,0,0,19.1,64.66666666666667,18.354166666666668
2019-02-12,2913,0,0,20.1,59.166666666666664,16.775000000000002
2019-02-13,3051,0,0,21.6,64.33333333333333,15.6875
2019-02-14,3052,0,0,22.3,61.75,14.612500000000002
2019-02-15,2580,0,0,23.1,62.458333333333336,13.5375
2019-02-16,2950,0,0.1,21.1,63.5,13.262500000000001
2019-02-17,2840,0,4.7,20.4,68.125,17.087500000000002
2019-02-18,2953,0,0,20.8,74.91666666666667,13.483333333333333
2019-02-19,3043,0,0,21.6,66.91666666666667,4.391666666666667
2019-02-20,3001,0,0,23.6,69.95833333333333,11.924999999999999
2019-02-21,2413,0,0,23.6,72.58333333333333,14.079166666666667
2019-02-22,2598,0,0,24.8,67.75,7.008333333333334
2019-02-23,3217,0,0,25.6,60.958333333333336,8.366666666666667
2019-02-24,3175,0,0,25,69.625,14.762499999999998
2019-02-25,2948,0,0.4,21.8,53.541666666666664,10.008333333333335
2019-02-26,2888,0,7,21.6,67.75,14.491666666666667
2019-02-27,2289,0,3.6,21.7,87.25,10.4875
2019-02-28,2619,0,17.3,20.2,83.25,11.279166666666667
2019-03-01,2307,0,0,19.8,87.75,13.237499999999997
2019-03-02,,,0,18.8,69.875,13.766666666666666
2019-03-03,2918,0,0,20.2,60.791666666666664,15.4
